country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United Kingdom,52400000,52800000,53300000,53700000,54000000,54300000,54600000,54900000,55200000,55400000,55700000,55900000,56100000,56200000,56200000,56200000,56200000,56200000,56200000,56200000,56300000,56300000,56300000,56300000,56400000,56600000,56700000,56800000,56900000,57100000,57200000,57400000,57600000,57700000,57900000,58000000,58200000,58300000,58500000,58700000,58900000,59100000,59400000,59600000,60000000,60400000,60800000,61300000,61800000,62300000,62800000,63300000,63700000,64100000,64600000,65100000,65600000,66000000
United States,181000000,184000000,187000000,189000000,192000000,194000000,197000000,199000000,201000000,203000000,205000000,208000000,210000000,212000000,214000000,216000000,218000000,220000000,223000000,225000000,227000000,229000000,232000000,234000000,236000000,238000000,240000000,242000000,244000000,247000000,250000000,253000000,257000000,260000000,263000000,266000000,269000000,273000000,276000000,279000000,282000000,285000000,288000000,290000000,293000000,296000000,298000000,301000000,304000000,307000000,309000000,312000000,314000000,316000000,319000000,321000000,323000000,326000000
Uruguay,2540000,2570000,2600000,2640000,2670000,2690000,2720000,2750000,2770000,2800000,2810000,2820000,2820000,2820000,2820000,2830000,2840000,2860000,2880000,2900000,2920000,2940000,2950000,2970000,2990000,3010000,3030000,3050000,3070000,3090000,3110000,3130000,3150000,3180000,3200000,3220000,3250000,3270000,3290000,3310000,3320000,3330000,3330000,3330000,3320000,3330000,3330000,3340000,3350000,3360000,3370000,3390000,3400000,3410000,3420000,3430000,3440000,3460000
Uzbekistan,8550000,8840000,9140000,9450000,9790000,10100000,10500000,10900000,11300000,11700000,12100000,12500000,12800000,13200000,13500000,13900000,14300000,14700000,15100000,15500000,15900000,16400000,16800000,17200000,17700000,18100000,18600000,19000000,19500000,20000000,20500000,21000000,21400000,21900000,22400000,22800000,23200000,23700000,24100000,24300000,24700000,25000000,25300000,25600000,25900000,26200000,26500000,26900000,27300000,27800000,28600000,29300000,29800000,30200000,30800000,31300000,31800000,32400000
Vanuatu,63700,65700,67800,70000,72100,74300,76400,78500,80700,82900,85400,88000,90800,93800,96800,99900,103000,106000,109000,113000,116000,119000,121000,124000,127000,130000,133000,136000,139000,143000,147000,151000,155000,160000,164000,168000,172000,175000,178000,181000,185000,189000,194000,199000,204000,209000,215000,220000,225000,231000,236000,242000,247000,253000,259000,265000,270000,276000
Venezuela,8150000,8460000,8790000,9130000,9480000,9820000,10200000,10500000,10900000,11200000,11600000,11900000,12300000,12600000,13000000,13400000,13700000,14100000,14500000,14900000,15300000,15800000,16200000,16600000,17100000,17500000,18000000,18400000,18900000,19400000,19900000,20300000,20800000,21300000,21700000,22200000,22700000,23100000,23600000,24000000,24500000,24900000,25400000,25900000,26300000,26800000,27200000,27700000,28100000,28600000,29000000,29500000,29900000,30300000,30700000,31200000,31600000,32000000
Vietnam,32700000,33700000,34700000,35700000,36800000,37900000,39000000,40100000,41200000,42300000,43400000,44500000,45500000,46600000,47700000,48700000,49800000,50900000,52000000,53200000,54400000,55600000,56900000,58300000,59700000,61000000,62500000,63900000,65300000,66800000,68200000,69700000,71100000,72600000,73900000,75200000,76400000,77500000,78500000,79400000,80300000,81100000,82000000,82700000,83500000,84300000,85100000,85900000,86700000,87600000,88500000,89400000,90500000,91500000,92500000,93600000,94600000,95500000
Yemen,5170000,5260000,5350000,5450000,5540000,5640000,5750000,5860000,5970000,6080000,6190000,6300000,6410000,6520000,6660000,6830000,7030000,7270000,7540000,7820000,8120000,8430000,8760000,9110000,9470000,9850000,10200000,10600000,11100000,11500000,12100000,12700000,13300000,14000000,14700000,15300000,15900000,16400000,16900000,17400000,17900000,18400000,18900000,19500000,20000000,20600000,21200000,21800000,22400000,23000000,23600000,24300000,24900000,25600000,26200000,26900000,27600000,28300000
Zambia,3040000,3140000,3240000,3350000,3450000,3560000,3680000,3790000,3910000,4040000,4170000,4320000,4470000,4630000,4790000,4960000,5140000,5320000,5500000,5690000,5890000,6090000,6310000,6520000,6740000,6960000,7170000,7390000,7600000,7810000,8030000,8240000,8450000,8670000,8900000,9140000,9390000,9670000,9950000,10200000,10500000,10800000,11100000,11400000,11700000,12100000,12400000,12700000,13100000,13500000,13900000,14300000,14700000,15200000,15600000,16100000,16600000,17100000
Zimbabwe,3750000,3870000,4000000,4130000,4270000,4410000,4550000,4700000,4850000,5010000,5180000,5350000,5540000,5730000,5920000,6120000,6310000,6500000,6700000,6920000,7160000,7430000,7720000,8030000,8340000,8660000,8980000,9290000,9600000,9900000,10200000,10400000,10700000,10900000,11100000,11300000,11500000,11700000,11900000,12100000,12200000,12400000,12500000,12600000,12800000,12900000,13100000,13300000,13600000,13800000,14100000,14400000,14700000,15100000,15400000,15800000,16200000,16500000
